AccountName,SecurityGroup,Protocol,PortRange,Source,Description
default,scg-an2-tra01-prd-bestion,tcp,22,0.0.0.0/0,ssh
default,scg-an2-tra01-prd-web,tcp,22,scg-an2-tra01-prd-bestion,ssh
